preferred_term	identifier	ontology_label	occurrences	cas_rn_current	stated_hydration	known_hydrates	hydration_valid	cas_verdict	cas_correct_or_UNKNOWN	grounding_verdict	recommended_target_curie	action	confidence	notes	source_rows_in_culturemech	mediadive_compound_id	sssom_predicate_published	defect_origin
0.002% CuCl2·2H2O solution	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	monohydrate (reported); dihydrate	TRUE	NO_CAS_PROVIDED	10125-13-0	NOT_APPLICABLE(unmapped)	CHEBI:86318	OK	high	The stated dihydrate is an established form of copper(II) chloride; known hydrates are monohydrate (reported); dihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Fe(SO4)2(NH4)2·6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate; heptahydrate reported but uncertain	TRUE	NO_CAS_PROVIDED	7783-85-9	NOT_APPLICABLE(unmapped)	CHEBI:76181	OK	high	The stated hexahydrate is an established form of ferrous ammonium sulfate; known hydrates are hexahydrate; heptahydrate reported but uncertain. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
AlK(SO4)2·12H2O	NOT_IN_MIM	NA	0	UNKNOWN	dodecahydrate	dodecahydrate	TRUE	NO_CAS_PROVIDED	7784-24-9	NOT_APPLICABLE(unmapped)	CHEBI:86465	OK	high	The stated dodecahydrate is an established form of potassium aluminium sulfate; known hydrates are dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Na2MnO4·2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	hydrate stoichiometry unresolved here	UNCERTAIN	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	medium	The exact dihydrate of sodium manganate could not be settled confidently from established phase evidence; retain UNKNOWN pending the source. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	CULTUREMECH
Sodium acetate·6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	trihydrate	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	No stable hexahydrate of sodium acetate is established; known hydrate forms are trihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	CULTUREMECH
NaVO3 . nH2O (meta)	NOT_IN_MIM	NA	0	UNKNOWN	hydrate (unspecified stoichiometry)	monohydrate	UNSPECIFIED	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	low	The label does not establish a unique water stoichiometry for sodium metavanadate; the original recipe or registry record is required. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	CULTUREMECH
FeCl3.6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate	TRUE	NO_CAS_PROVIDED	10025-77-1	NOT_APPLICABLE(unmapped)	CHEBI:86254	OK	high	The stated hexahydrate is an established form of iron(III) chloride; known hydrates are hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
NaSeO3·5H2O	NOT_IN_MIM	NA	0	UNKNOWN	pentahydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The selenite formula is malformed; Na2SeO3 pentahydrate is likely intended. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive exports; no downstream file was changed.	1	NA	NOT_FOUND	CULTUREMECH
L-Cysteine-HCl·H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	7048-04-6	NOT_APPLICABLE(unmapped)	CHEBI:91248	OK	high	The stated monohydrate is an established form of L-cysteine hydrochloride; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
CaCl2・6 H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	7774-34-7	NOT_APPLICABLE(unmapped)	CHEBI:91243	OK	high	The stated hexahydrate is an established form of calcium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Na2-EDTA·2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	dihydrate	TRUE	NO_CAS_PROVIDED	6381-92-6	NOT_APPLICABLE(unmapped)	CHEBI:64758	OK	high	The stated dihydrate is an established form of disodium EDTA; known hydrates are dihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
MQ H2O	NOT_IN_MIM	NA	0	UNKNOWN	not applicable (not a hydrate label)	not applicable	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	Corpus-screening false positive: this is water or a dehydrated-medium product name, not a salt hydrate; no hydrate identity should be inferred. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Na2S・9H2O (10%, w/v)	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
15% MgSO4・7H2O solution	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	NO_CAS_PROVIDED	10034-99-8	NOT_APPLICABLE(unmapped)	CHEBI:31795	OK	high	The stated heptahydrate is an established form of magnesium sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
NaMoO4 · 2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The molybdate formula is malformed; Na2MoO4 dihydrate is likely intended. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive exports; no downstream file was changed.	1	NA	NOT_FOUND	CULTUREMECH
VOSO4 · 2 H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	monohydrate; dihydrate; trihydrate; pentahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	CHEBI:87009	OK	high	The stated dihydrate is an established form of vanadyl sulfate; known hydrates are monohydrate; dihydrate; trihydrate; pentahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Na2B4O7 ·  10 H2O	NOT_IN_MIM	NA	0	UNKNOWN	decahydrate	decahydrate	TRUE	NO_CAS_PROVIDED	1303-96-4	NOT_APPLICABLE(unmapped)	CHEBI:131366	OK	high	The stated decahydrate is an established form of disodium tetraborate; known hydrates are decahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
5% Na2S·9H2O	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
(NH4)2Ni(SO4)2•6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate	TRUE	NO_CAS_PROVIDED	56110-30-6	NOT_APPLICABLE(unmapped)	CHEBI:86149	OK	high	The stated hexahydrate is an established form of ammonium nickel sulfate; known hydrates are hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Na2S-9H2O	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
CaCl2. 2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	10035-04-8	NOT_APPLICABLE(unmapped)	CHEBI:86158	OK	high	The stated dihydrate is an established form of calcium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Na2MoO4. 2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	dihydrate; decahydrate	TRUE	NO_CAS_PROVIDED	10102-40-6	NOT_APPLICABLE(unmapped)	CHEBI:75213	OK	high	The stated dihydrate is an established form of sodium molybdate; known hydrates are dihydrate; decahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
CuSO4 .5H2O	NOT_IN_MIM	NA	0	UNKNOWN	pentahydrate	monohydrate; trihydrate; pentahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	7758-99-8	NOT_APPLICABLE(unmapped)	CHEBI:31440	OK	high	The stated pentahydrate is an established form of copper(II) sulfate; known hydrates are monohydrate; trihydrate; pentahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
MgSO4-7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	NO_CAS_PROVIDED	10034-99-8	NOT_APPLICABLE(unmapped)	CHEBI:31795	OK	high	The stated heptahydrate is an established form of magnesium sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Ca(NO3)2•4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	dihydrate; trihydrate; tetrahydrate	TRUE	NO_CAS_PROVIDED	13477-34-4	NOT_APPLICABLE(unmapped)	CHEBI:86159	OK	high	The stated tetrahydrate is an established form of calcium nitrate; known hydrates are dihydrate; trihydrate; tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
L-Cysteine•HCl•H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	7048-04-6	NOT_APPLICABLE(unmapped)	CHEBI:91248	OK	high	The stated monohydrate is an established form of L-cysteine hydrochloride; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
5% Na2S・9H2O (autoclaved)	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
4% Fe(NH4)2(SO4)2・6H2O solution (filter--sterilized)	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate; heptahydrate reported but uncertain	TRUE	NO_CAS_PROVIDED	7783-85-9	NOT_APPLICABLE(unmapped)	CHEBI:76181	OK	high	The stated hexahydrate is an established form of ferrous ammonium sulfate; known hydrates are hexahydrate; heptahydrate reported but uncertain. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
MgSO4 ·7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	NO_CAS_PROVIDED	10034-99-8	NOT_APPLICABLE(unmapped)	CHEBI:31795	OK	high	The stated heptahydrate is an established form of magnesium sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
CaCl2 x 2 H2O solution	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	10035-04-8	NOT_APPLICABLE(unmapped)	CHEBI:86158	OK	high	The stated dihydrate is an established form of calcium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Sodium citrate tribasic dihydrate	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	dihydrate	TRUE	NO_CAS_PROVIDED	6132-04-3	NOT_APPLICABLE(unmapped)	CHEBI:32142	OK	high	The stated dihydrate is an established form of trisodium citrate; known hydrates are dihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
MgSO4•7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	NO_CAS_PROVIDED	10034-99-8	NOT_APPLICABLE(unmapped)	CHEBI:31795	OK	high	The stated heptahydrate is an established form of magnesium sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
1% FeSO4・6H2O solution (in 0.02 N H2SO4)	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	none exists	MINT	high	The stated hexahydrate is an established form of iron(II) sulfate; known hydrates are monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	MIM
Ca(NO3)2・6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	dihydrate; trihydrate; tetrahydrate	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	No stable hexahydrate of calcium nitrate is established; known hydrate forms are dihydrate; trihydrate; tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	CULTUREMECH
Fe(SO4)2(NH4)2 . 6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate; heptahydrate reported but uncertain	TRUE	NO_CAS_PROVIDED	7783-85-9	NOT_APPLICABLE(unmapped)	CHEBI:76181	OK	high	The stated hexahydrate is an established form of ferrous ammonium sulfate; known hydrates are hexahydrate; heptahydrate reported but uncertain. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Thiamine·HCl·2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	hemihydrate; monohydrate; nonstoichiometric hydrate; dihydrate	TRUE	NO_CAS_PROVIDED	13465-05-9	NOT_APPLICABLE(unmapped)	CHEBI:132751	OK	high	The stated dihydrate is an established form of thiamine hydrochloride; known hydrates are hemihydrate; monohydrate; nonstoichiometric hydrate; dihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
(NH4)6MoO24·4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The ammonium heptamolybdate formula is malformed; (NH4)6Mo7O24 tetrahydrate is likely intended. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	CULTUREMECH
beta-Na2glycerophosphate·5H2O	NOT_IN_MIM	NA	0	UNKNOWN	pentahydrate	pentahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	none exists	MINT	high	The stated pentahydrate is an established form of disodium beta-glycerophosphate; known hydrates are pentahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	MIM
Na2S . 9H2O solution (10% w/v)	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
5% Na2S・9H2O solution (pH 7.0)	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
MgCl2•6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate	TRUE	NO_CAS_PROVIDED	7791-18-6	NOT_APPLICABLE(unmapped)	CHEBI:86345	OK	high	The stated hexahydrate is an established form of magnesium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Sodium aceate•3H2O	NOT_IN_MIM	NA	0	UNKNOWN	trihydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The ingredient name misspells sodium acetate; sodium acetate trihydrate is likely intended. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	CULTUREMECH
5% L-Cysteine•HCl•H2O solution	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	7048-04-6	NOT_APPLICABLE(unmapped)	CHEBI:91248	OK	high	The stated monohydrate is an established form of L-cysteine hydrochloride; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Na2WO4•2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	monohydrate; dihydrate	TRUE	NO_CAS_PROVIDED	10213-10-2	NOT_APPLICABLE(unmapped)	CHEBI:63939	OK	high	The stated dihydrate is an established form of sodium tungstate; known hydrates are monohydrate; dihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
2.5% Na2S . 9H2O	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
0.1% FeSO4・7H2O solution (in 0.1 N H2SO4)	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	7782-63-0	NOT_APPLICABLE(unmapped)	CHEBI:75836	OK	high	The stated heptahydrate is an established form of iron(II) sulfate; known hydrates are monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
MnCl3 . 4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	MnCl3 is not the standard stable chloride reagent; MnCl2 tetrahydrate is the likely intended substance. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	CULTUREMECH
Na2SeO4 . 6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	sesquihydrate; heptahydrate; decahydrate	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	No stable hexahydrate of sodium selenate is established; known hydrate forms are sesquihydrate; heptahydrate; decahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	CULTUREMECH
AlCl3 . 6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate	TRUE	NO_CAS_PROVIDED	7784-13-6	NOT_APPLICABLE(unmapped)	CHEBI:30115	OK	high	The stated hexahydrate is an established form of aluminium chloride; known hydrates are hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Ferrous sulfate heptahydrate	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	7782-63-0	NOT_APPLICABLE(unmapped)	CHEBI:75836	OK	high	The stated heptahydrate is an established form of iron(II) sulfate; known hydrates are monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Cobalt sulfate heptahydrate	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	10026-24-1	NOT_APPLICABLE(unmapped)	CHEBI:91244	OK	high	The stated heptahydrate is an established form of cobalt(II) sulfate; known hydrates are monohydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
di‐Potassium hydrogen orthophosphate trihydrate	NOT_IN_MIM	NA	0	UNKNOWN	trihydrate	trihydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	16788-57-1	NOT_APPLICABLE(unmapped)	cas:16788-57-1	OK	high	The stated trihydrate is an established form of dipotassium hydrogenphosphate; known hydrates are trihydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Sodium dihydrogen orthophosphate monohydrate	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate; dihydrate	TRUE	NO_CAS_PROVIDED	10049-21-5	NOT_APPLICABLE(unmapped)	CHEBI:114249	OK	high	The stated monohydrate is an established form of sodium dihydrogenphosphate; known hydrates are monohydrate; dihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
NaNH4HPO4 . 4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	tetrahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated tetrahydrate is an established form of sodium ammonium hydrogenphosphate; known hydrates are tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
Citric acid . H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated monohydrate is an established form of citric acid; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
5% L--Cysteine・HCl・H2O solution (pH 7.0)	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	7048-04-6	NOT_APPLICABLE(unmapped)	CHEBI:91248	OK	high	The stated monohydrate is an established form of L-cysteine hydrochloride; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	NONE
0.01 M FeSO4・5H2Osolution (in 0.02 N HCl) (optional)	NOT_IN_MIM	NA	0	UNKNOWN	pentahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	none exists	MINT	high	The stated pentahydrate is an established form of iron(II) sulfate; known hydrates are monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	MIM
Na2S2O4・2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	no securely established dihydrate located	UNCERTAIN	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	medium	The exact dihydrate of sodium dithionite could not be settled confidently from established phase evidence; retain UNKNOWN pending the source. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	1	NA	NOT_FOUND	CULTUREMECH
